"Alice","Monday","Pizza","Alice","alice@example.com","123-456-7890","123 Maple St","Pizza","Cheese","Cheese","5","200"
"Alice","Monday","Pizza","Alice","alice@example.com","123-456-7890","123 Maple St","Pizza","Dough","Dough","3","100"
"Alice","Monday","Pizza","Alice","alice@example.com","123-456-7890","123 Maple St","Pizza","Tomato Sauce","Tomato Sauce","2","150"
"Alice","Monday","Burger","Alice","alice@example.com","123-456-7890","123 Maple St","Burger","Bun","Bun","2","180"
"Alice","Monday","Burger","Alice","alice@example.com","123-456-7890","123 Maple St","Burger","Patty","Patty","4","120"
"Bob","Tuesday","Burger","Bob","bob@example.com","234-567-8901","456 Oak St","Burger","Bun","Bun","2","180"
"Bob","Tuesday","Burger","Bob","bob@example.com","234-567-8901","456 Oak St","Burger","Patty","Patty","4","120"
"Charlie","Wednesday","Pasta","Charlie","charlie@example.com","345-678-9012","789 Pine St","Pasta","Noodles","Noodles","3","170"
"Charlie","Wednesday","Pasta","Charlie","charlie@example.com","345-678-9012","789 Pine St","Pasta","Tomato Sauce","Tomato Sauce","2","150"
"Charlie","Wednesday","Sushi","Charlie","charlie@example.com","345-678-9012","789 Pine St","Sushi","Fish","Fish","8","100"
"Charlie","Wednesday","Sushi","Charlie","charlie@example.com","345-678-9012","789 Pine St","Sushi","Rice","Rice","2","300"
"Alice","Thursday","Sushi","Alice","alice@example.com","123-456-7890","123 Maple St","Sushi","Fish","Fish","8","100"
"Alice","Thursday","Sushi","Alice","alice@example.com","123-456-7890","123 Maple St","Sushi","Rice","Rice","2","300"
"Bob","Friday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Cheese","Cheese","5","200"
"Bob","Friday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Dough","Dough","3","100"
"Bob","Friday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Tomato Sauce","Tomato Sauce","2","150"
"Bob","Tuesday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Cheese","Cheese","5","200"
"Bob","Tuesday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Dough","Dough","3","100"
"Bob","Tuesday","Pizza","Bob","bob@example.com","234-567-8901","456 Oak St","Pizza","Tomato Sauce","Tomato Sauce","2","150"
